SKU,Article Code,Brand Name,Title,Bullet Points,Description,Keywords,BARCODE
KNE5061,KNE5061,Krypton,Krypton KNE5061 Led Emergency,"• LED EMRGENCY 1X40
 • Battery: 4V 2500mAh sealed lead-acid Rechargeable battery
 • Light source:1W Hi-power led light12×0.2W Hi-power led light
 • Duration: 6 hours/side light8 hours/torch light 10 hours/ fan
 • Charge time: 8-10 hours （AC)
 • Ac 220-240V 50/60Hz 3.4W
 • Battery: 3.7V1800mAh lithium battery",Krypton KNE5061 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5063,KNE5063,Krypton,Krypton KNE5063 Led Emergency,"• Battery: 4V 800mAH sealed lead-acid 
 • Rechargeable battery 
 • Light source: 28×0.2W Hi-power led light 
 • Duration: 2.5 hours/strong light, 4 hours/full week light
 • Charge time: 8-10hours(AC)
 • AC 220-240V 50/Hz 5.6W",Krypton KNE5063 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5064,KNE5064,Krypton,Krypton KNE5064 Led Emergency,"• Battery: 4V 2400mAH sealed lead-acid 
 • Rechargeable battery 
 • Light source: 52×0.2W Hi-power led light 
 • Duration: 2.5 hours/strong light,4 hours/full week light
 • Charge time: 8-10hours(AC)
 • AC 220-240V 50/Hz 10W",Krypton KNE5064 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5076,KNE5076,Krypton,Krypton KNE5076 Led Emergency,"• Input DC: 5V 
 • Battery: 4V 900mAh sealed lead-acid Rechargeable battery
 • Light source: 14x0.5w LED
 • Charge time: 6-8 hours 
 • Duration: torch: 1.5 hours/Strong Light: 
 • hours/Weak Light
 • Dimension:55x48x130mm
 • Power : 7.5W",Krypton KNE5076 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5084,KNE5084,Krypton,Krypton KNE5084 Led Emergency,"• The product is rated capacity as high as 4V 1200mAH lead-acid batteries.
 • The long life battery is able to use circularly 500 times.
 • Lamp bead adopts energy saving
 • High brightness
 • long life
 • 32PCS (0.2W) SMD lamp bead.
 • Suitable for family Emergency lighting ,night travel ,tourism, camping, fishing ,hunting, filed
 • AC:220-240v50/60Hz 6.4W.",Krypton KNE5084 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5092,KNE5092,Krypton,Krypton KNE5092 Led Emergency,"• Battery:4V 1600mah Sealed -Lead-Acid Rechargeable Battery
 • 31pcs Hi-Power Led
 • With Dc 6v Solar Interface
 • Full Charge Indicator
 • Duration:3 Hours/Full Strong Light
 • ≥10 Hours/Full Week Light
 • Ac:220-240v 50/60Hz 6.2w",Krypton KNE5092 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5094,KNE5094,Krypton,Krypton KNE5094 Led Emergency,"• Long Duration Time
 • 24pcs 5050SMD LED
 • 6V Rechargeable Sealed Lead-acid Battery
 • With overcharge protection
 • Charging Time :10-12hours - Operating Time:7 hours (high)20 hours (low)
 • AC: 220-240V 50/60Hz 5W",Krypton KNE5094 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5106,KNE5106,Krypton,Krypton KNE5106 Led Emergency,"• Battery:4V 700mah Sealed Lead-Acid Rechargeable Battery
 • 18 PCS HI-POWER LED
 • Duration: 2 Hours /Full Strong Light - 5 Hours/Full Weak Light
 • AC:220-240V 50/60Hz 3.6W",Krypton KNE5106 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5110,KNE5110,Krypton,Krypton KNE5110 Rechargeableable Flash Light,"• Charge time: 6-8 hours
 • Duration: 6 hrs
 • Dimension: 125x125x155mm
 • Input: DC 5V",Krypton KNE5110 Rechargeable Flash Light,"flash light, Led light, LED light, Rechargeable light, battery, torch, krypton light, krypton flashlight, emergency light",
KNE5127,KNE5127,Krypton,Krypton KNE5127 Led Emergency,"• Battery: 4V 800mAh sealed lead-acid Rechargeable battery 
 • Light source:24*0.2w Hi-power led light 
 • Duration: 2.5 hours/strong light 4 hours /weak light 
 • Input DC :5V",Krypton KNE5127 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5128,KNE5128,Krypton,Krypton KNE5128 Led Emergency,"• Battery:4V 800mAh sealed lead-acid Rechargeable battery
 • 16 PCS HI-POWER LED
 • Duration: 2 hours /full strong light - 5 hours/full weak light
 • DC 5V 3.2W",Krypton KNE5128 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5129,KNE5129,Krypton,Krypton KNE5129 Led Emergency,"• Lithium Battery Capacity-1200mAh
 • LED Blub - 18pcs SMD 
 • Material - ABS
 • Rated Voltage - DC 5V
 • Rated LED Power - 2W
 • Dimming Mode - Touch 
 • Dimming Gears - 4Levels(100°/0,40°/0,10°/0,OFF)",Krypton KNE5129 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNE5130,KNE5130,Krypton,Krypton KNE5130 Led Emergency,"• Long Duration Time
 • 24pcs 2835SMD LED 
 • 6V Rechargeable Sealed Lead-acid Battery
 • With overcharge protection
 • Charging Time:8-10hours Operating Time:5-6 hours(high) 20 -25 hours(Low) 
 • AC:220-240V 50/60Hz 2W
 • 5V USB output",Krypton KNE5130 Led Emergency,"Emergency light, lantern, krypton light, Rechargeable light, krypton lantern, krypton torch, multifunction led light, led light, multifunctional light",
KNEFL5072,KNEFL5072,Krypton,Krypton KNEFL5072 Emergency & Flash Light,"• Rechargeable LED Lantern & Flashlight 1X12
 • Battery: 4V1.6Ah sealed lead-acid Rechargeable battery
 • Light source: 24PCS 0.5W bright LED
 • Charge time: 8-10 hours
 • Duration:200 hours/weak light
 • Power source: AC 220-240V- 50/60Hz 12W
 • DC 12V",Krypton KNEFL5072 Emergency&Flash Light,"LED lantern, led light, led krypton, Rechargeable lamp, bright light, light, combo pack, flash light,",
KNEFL5132,KNEFL5132,Krypton,Krypton KNEFL5132 Emergency & Flash Light,"• LANTERN 
 • Long Duration Time
 • 24 PCS 5050 SMD LED 
 • 6V Rechargeable Sealed Lead-acid Battery
 • With overcharge protection
 • charging time : 10 -12 hours 
 • AC:220-240V 50/60Hz 3w
 • FLASH LIGHT
 • High Capacity Rechargeable 3.6V 1900mAh NI-CD Battery
 • Hyper bright CREE LED
 • High polished reflector withstands extreme temperatures and delivers superior optical performance
 • Precision machined high strength aluminum alloy flashlight case
 • Water resistant seals throughout the flash-light protect all international components from harsh environmental conditions
 • High Quality tempered unbreakable lens",Krypton KNEFL5132 Emergency&Flash Light,"LED lantern, led light, led krypton, Rechargeable lamp, bright light, light, combo pack, flash light,",
KNES5077,KNES5077,Krypton,Krypton KNES5077 Extension Socket,"• Rated voltage:250V 50/60Hz
 • Rated current:13A
 • Rated power:3250W
 • Plug type :BS 1363/A
 • Cable spec:3 Cores X 1.25MM²
 • Switch spec:13A 250V~
 • Cord length:3 meter",Krypton KNES5077 Extension Socket,"electric extension, extension socket, extension board, electric socket, krypton extension socket, krypton extension, Usb extension Box, Extension Box",
KNES5078,KNES5078,Krypton,Krypton KNES5078 Extension Socket,"• Rated voltage:250V 50/60Hz
 • Rated current:13A
 • Rated power:3250W
 • Plug type :BS 1363/A
 • Cable spec:3 Cores X 1.25MM²
 • Switch spec:13A 250V~
 • Cord length:3 meter",Krypton KNES5078 Extension Socket,"electric extension, extension socket, extension board, electric socket, krypton extension socket, krypton extension, Usb extension Box, Extension Box",
KNESL5073,KNESL5073,Krypton,Krypton KNESL5073 Energy Saving Lamp,"• Power source: AC 220V-240V 50/6Hz
 • Light source:3x0.5W RED/GREEN/BLUE LED
 • Dimension:128x128x165mm
 • Power - 1.5W",Krypton KNESL5073 Energy Saving Lamp,"lamp, krypton lamp, Lamp, energy saving bulb, light,",
KNESL5097,KNESL5097,Krypton,Krypton KNESL5097 Energy Saving Lamp/Led,"• Energy efficient
 • Environmental protection
 • No mercury and other harmful substances
 • Long life 
 • LED lamp life of 50000 hours,six hours a day,life expectancy is 20 years
 • Rated Voltage:AC:170-240V 50/60Hz
 • Produce Size:φ145*16MM
 • Hole Size :φ130MM
 • Power:9W",Krypton KNESL5097 Energy Saving Lamp/Led,"lamp, krypton lamp, Lamp, energy saving bulb, light,",
KNESL5098,KNESL5098,Krypton,Krypton KNESL5098 Energy Saving Lamp/Led,"• Energy efficient
 • Environmental protection
 • No mercury and other harmful substances
 • Long life 
 • LED lamp life of 50000 hours,six hours a day,life expectancy is 20 years
 • Rated Voltage:AC:170-240V 50/60Hz
 • Produce Size:φ170*16MM
 • Hole Size :φ150MM
 • Power:12W",Krypton KNESL5098 Energy Saving Lamp/Led,"lamp, krypton lamp, Lamp, energy saving bulb, light,",
KNESL5099,KNESL5099,Krypton,Krypton KNESL5099 Energy Saving Lamp/Led,"• Energy efficient
 • Environmental protection
 • No mercury and other harmful substances
 • Long life 
 • LED lamp life of 50000 hours,six hours a day,life expectancy is 20 years
 • Rated Voltage:AC:170-240V 50/60Hz
 • Produce Size:φ220*16MM
 • Hole Size :φ200MM
 • Power:18W",Krypton KNESL5099 Energy Saving Lamp/Led,"lamp, krypton lamp, Lamp, energy saving bulb, light,",
KNESL5107,KNESL5107,Krypton,Krypton KNESL5107 Energy Saving Lamp,"• Power source: AC 220-240V, 50/60Hz 
 • Battery: 4V1600mAh sealed lead-acid Rechargeable battery 
 • Light source: 36pcs bright SMD LED light
 • Charge time: 20-24 hours
 • Duration: 1.5-50 hours
 • Measurement: 124x106x240 mm",Krypton KNESL5107 Energy Saving Lamp,"lamp, krypton lamp, Lamp, energy saving bulb, light,",
KNESL5108,KNESL5108,Krypton,Krypton KNESL5108 Energy Saving Lamp,"• 30000 Hours Lifetime 
 • Power - 20 W
 • Smd - Led 
 • 90% Energy Saving",Krypton KNESL5108 Energy Saving Lamp,"lamp, krypton lamp, Lamp, energy saving bulb, light,",
KNF6012,KNF6012,Krypton,Krypton KNF6012 Stand Fan,"• 3 Speeds
 • Adjustable Height
 • 90◦ Horizontal Oscillation
 • 45◦ Vertical Adjustment
 • Safety 102 Pieces Grill
 • Diameter:40cm
 • Height:130cm
 • Ac:220-240v 50/60hz 50w",Krypton KNF6012 Stand Fan,"fan, krypton fan, stand fan, cooling fan, fast fan, electric fan",
KNF6025,KNF6025,Krypton,Krypton KNF6025 Box Fan,"• 10inch Box Fan
 • 3 Speed Choice
 • 60 Minutes Timer
 • Five Leaf
 • PP Blades
 • Powerful and silent Circulation
 • AC 220-240V50/60Hz 45w
 • 2 Years warranty",Krypton KNF6025 Box Fan,"fan, krypton fan, box fan, cooling fan, fast fan, electric fan",
KNF6026,KNF6026,Krypton,Krypton KNF6026 Table Fan,"• 16 Inch Table Fan
 • Piano Button Switches With 3 Speeds:Low/Med/High
 • Five Leaf “PP” Blades 
 • 120 Ribbed Grills
 • Wide Angle Horizontal Oscillation
 • AC220-240V 50/60Hz 60W",Krypton KNF6026 Table Fan,"fan, krypton fan, stand fan, cooling fan, fast fan, electric fan",
KNF6027,KNF6027,Krypton,Krypton KNF6027 Stand Fan,"• 16 Inch 
 • 3 Speed
 • Five leaf
 • PP Blades
 • 120 Ribbed grills
 • Piano Button switches with 3 speeds
 • Height Adjustable
 • AC 220-240V 50/60Hz 60w
 • 2 Years warranty",Krypton KNF6027 Stand Fan,"fan, krypton fan, stand fan, cooling fan, fast fan, electric fan",
KNF6030,KNF6030,Krypton,Krypton KNF6030 Reachargeble Fan,"• 6V 3000mAh Battery
 • 6V strong motor, adjustable speed
 • 21 pcs*0.5W Led, 2 step lighting, strong & dim
 • Using time : 4 Hours
 • 9 inch fan, angel changeable 180 degree, wall mount
 • AC:220 - 240 V 50/60Hz 6W",Krypton KNF6030 Reachargeble Fan,"fan, krypton fan, Rechargeable fan, cooling fan, fast fan, electric fan, fan with led, fan with torch",
KNF6035,KNF6035,Krypton,Krypton KNF6035 Table Fan,"• Super quiet motor
 • 2 in 1 desk fan& clip fan
 • A perfect size for home office or anywhere
 • With oscillation, wide use range
 • Easy 2 speed control
 • The safety net cover design, precision plastic, more safety
 • AC 220-240V 50/60Hz 20W",Krypton KNF6035 Table Fan,"fan, krypton fan, stand fan, cooling fan, fast fan, electric fan",
KNF6037,KNF6037,Krypton,Krypton KNF6037 Reachargeble Fan,"• Using the brushless motor andimproved PCB, ensured thesuper strong wind and long life
 • Intelligent control system, reliable performance.
 • Power supply can be USB or international standard 18650 battery, more convenient.
 • A professional handy fan with simple design and firm structure.
 • The battery voltage: 3.7V
 • Input DC: 5V",Krypton KNF6037 Reachargeble Fan,"fan, Krypton fan, Rechargeable fan, cooling fan, fast fan, electric fan, fan with led, fan with torch, Clip Fan, Krypton Clip Fan",
KNF6061,KNF6061,Krypton,Krypton KNF6061 Reachargeble Fan,"• Battery: 4V 1600mAH sealed lead-acid 
 • Rechargeable battery 
 • Light source: 12×0.2W Hi-power led light 
 • Duration: 6 hours/led light, 4 hours/fan
 • Charge time:10-12hours(DC)
 • Input DC:5V",Krypton KNF6061 Reachargeble Fan,"fan, krypton fan, Rechargeable fan, cooling fan, fast fan, electric fan, fan with led, fan with torch",
